HIND Total Household Income (weekly),Negative income,,,,,Nil income,,,,,"$1-$149 ($1-$7,799)",,,,,"$150-$299 ($7,800-$15,599)",,,,,"$300-$399 ($15,600-$20,799)",,,,,"$400-$499 ($20,800-$25,999)",,,,,"$500-$649 ($26,000-$33,799)",,,,,"$650-$799 ($33,800-$41,599)",,,,,"$800-$999 ($41,600-$51,999)",,,,,"$1,000-$1,249 ($52,000-$64,999)",,,,,"$1,250-$1,499 ($65,000-$77,999)",,,,,"$1,500-$1,749 ($78,000-$90,999)",,,,,"$1,750-$1,999 ($91,000-$103,999)",,,,,"$2,000-$2,499 ($104,000-$129,999)",,,,,"$2,500-$2,999 ($130,000-$155,999)",,,,,"$3,000-$3,499 ($156,000-$181,999)",,,,,"$3,500-$3,999 ($182,000-$207,999)",,,,,"$4,000-$4,499 ($208,000-$233,999)",,,,,"$4,500-$4,999 ($234,000-$259,999)",,,,,"$5,000-$5,999 ($260,000-$311,999)",,,,,"$6,000-$7,999 ($312,000-$415,999)",,,,,"$8,000 or more ($416,000 or more)",,,,,Partial income stated,,,,,All incomes not stated,,,,,Not applicable,,,,,Total,,,,
HHCD - 1 Digit Level,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
POA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2777, NSW",4,0,0,0,0,13,0,22,0,0,9,0,23,0,0,18,0,59,0,0,15,0,99,0,0,64,0,254,4,0,85,0,169,5,0,255,0,162,4,0,216,0,151,0,0,365,3,127,7,0,327,4,84,0,0,283,10,70,0,0,277,10,64,0,0,650,17,85,3,0,532,6,5,0,0,361,12,3,0,0,258,8,21,0,0,141,8,0,0,0,138,5,0,0,0,100,8,0,0,0,52,7,0,0,0,0,0,0,0,0,435,23,12,0,0,52,0,61,5,0,0,0,0,135,386,4641,128,1467,160,386
"2778, NSW",0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,5,0,9,0,0,3,0,17,0,0,10,0,38,0,0,14,0,19,3,0,31,0,27,0,0,41,0,22,0,0,45,0,25,0,0,51,0,9,0,0,52,0,10,0,0,49,4,10,0,0,94,0,14,0,0,70,5,0,0,0,46,4,0,0,0,30,0,0,0,0,16,0,0,0,0,12,0,0,0,0,7,0,6,0,0,9,0,0,0,0,0,0,0,0,0,59,0,5,0,0,3,0,6,0,0,0,0,0,25,79,662,15,214,31,79
"2779, NSW",0,0,4,0,0,3,0,7,0,0,4,0,3,0,0,6,0,28,0,0,3,0,42,0,0,31,0,94,0,0,36,0,47,0,0,66,0,45,0,0,75,0,41,0,0,101,0,32,0,0,110,0,36,0,0,99,0,37,0,0,99,0,20,0,0,186,5,17,0,0,151,3,5,0,0,80,3,0,0,0,43,4,4,0,0,30,0,0,0,0,17,0,0,0,0,9,5,0,0,0,4,0,0,0,0,0,0,0,0,0,125,6,4,0,0,16,0,24,4,0,0,0,0,37,170,1295,33,497,49,170
"2780, NSW",6,0,10,6,0,19,0,46,4,0,9,0,32,0,0,23,0,136,4,0,18,0,203,13,0,108,0,471,5,0,131,0,248,4,0,281,0,198,3,0,244,0,206,6,0,315,0,153,12,0,273,3,148,11,0,189,3,95,12,0,223,3,76,4,0,355,4,81,8,0,234,6,10,4,0,116,3,5,0,0,67,3,38,3,0,48,0,0,3,0,48,6,0,0,0,33,0,0,0,0,29,0,3,3,0,4,0,0,0,0,272,4,63,0,0,39,0,125,38,0,0,0,0,319,1552,3077,38,2340,463,1552
"2782, NSW",0,0,0,0,0,10,0,19,0,0,10,0,9,0,0,7,0,36,0,0,13,0,52,0,0,41,0,154,0,0,44,0,76,0,0,141,0,72,0,0,114,0,66,0,0,165,0,66,0,0,132,0,38,0,0,100,0,32,0,0,102,0,27,0,0,189,0,43,3,0,117,0,4,0,0,85,0,7,0,0,67,0,13,4,0,40,0,0,0,0,27,0,0,0,0,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,155,0,13,0,0,20,0,45,6,0,0,0,0,99,437,1627,10,775,131,437
"2783, NSW",0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,13,0,0,3,0,30,0,0,24,0,71,0,0,20,0,39,0,0,35,0,20,0,0,41,0,36,4,0,63,0,20,0,0,56,0,34,0,0,43,0,11,0,0,44,0,12,0,0,106,0,21,0,0,63,0,4,0,0,24,7,0,0,0,26,4,0,0,0,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,66,0,4,0,0,7,0,16,0,0,0,0,0,44,118,649,12,339,54,118
"2784, NSW",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,5,0,0,5,0,13,0,0,3,0,24,0,0,8,0,11,0,0,20,0,10,0,0,19,0,11,0,0,39,0,15,0,0,33,0,10,0,0,32,4,11,0,0,27,0,4,0,0,35,0,17,0,0,21,0,0,0,0,14,0,0,0,0,10,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,0,0,0,28,55,321,4,142,27,55
"2785, NSW",3,0,7,0,0,4,0,16,0,0,0,0,13,4,0,13,0,31,4,0,4,0,55,0,0,37,0,140,3,0,52,0,108,0,0,118,0,66,0,0,105,0,70,3,0,120,5,65,6,0,115,0,37,4,0,72,0,29,4,0,77,0,30,5,0,131,0,30,7,0,82,0,3,0,0,38,0,0,0,0,41,0,4,4,0,19,0,0,0,0,23,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,114,0,13,0,0,18,0,39,19,0,0,0,0,99,790,1207,7,752,162,790
"2786, NSW",0,0,0,0,0,0,0,5,0,0,3,0,6,0,0,0,0,14,0,0,6,0,12,3,0,14,0,43,0,0,11,0,19,0,0,33,0,14,0,0,25,0,13,0,0,30,0,16,0,0,25,0,7,0,0,23,0,8,0,0,15,0,6,0,0,36,0,6,5,0,21,0,0,0,0,10,0,0,5,0,0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,0,3,0,5,5,0,0,0,0,59,225,293,4,193,81,225
"2787, NSW",0,0,0,0,0,5,0,11,0,0,10,0,16,3,0,11,0,25,4,0,7,0,43,0,0,41,0,107,0,0,23,0,44,4,0,100,0,34,3,0,51,0,43,3,0,98,3,44,3,0,95,0,30,0,0,89,0,23,0,0,83,4,10,0,0,132,0,16,0,0,69,3,0,0,0,36,0,4,0,0,24,4,7,0,0,22,0,0,0,0,14,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,119,3,7,0,0,22,0,36,3,0,0,0,0,155,400,1077,22,499,189,400
"2790, NSW",8,0,11,0,0,16,0,46,0,0,28,4,26,0,0,38,0,172,5,0,41,0,278,5,0,141,0,540,3,0,170,3,179,0,0,441,0,178,0,0,290,6,132,8,0,353,5,153,5,0,261,7,92,6,0,208,5,49,4,0,222,6,57,0,0,382,5,68,7,0,243,5,3,0,0,159,4,0,3,0,103,3,27,0,0,55,6,0,0,0,57,0,3,0,0,61,3,0,5,0,29,0,0,0,0,3,0,0,0,0,332,11,10,0,0,84,0,144,11,0,0,0,0,444,809,3728,79,2173,522,809
"2791, NSW",0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,0,3,0,8,0,0,0,0,9,0,0,10,0,5,0,0,5,0,0,0,0,7,0,4,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,0,0,0,0,0,6,35,89,3,41,7,35
"2792, NSW",0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,7,0,0,3,0,12,0,0,5,0,6,0,0,10,0,5,0,0,8,0,0,0,0,7,0,3,0,0,15,0,4,0,0,4,0,0,0,0,5,0,0,0,0,14,0,5,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,9,36,104,0,55,15,36
"2793, NSW",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,5,0,0,4,0,18,0,0,17,0,31,0,0,10,0,10,0,0,39,0,8,0,0,20,0,7,0,0,35,0,9,0,0,25,0,0,0,0,16,0,8,0,0,17,0,4,0,0,16,0,0,0,0,12,0,0,0,0,9,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,8,0,8,3,0,0,0,0,33,144,265,0,115,43,144
"2794, NSW",7,0,6,0,0,9,0,24,0,0,14,0,24,0,0,28,0,95,7,0,30,0,163,0,0,96,0,322,7,0,111,0,132,0,0,308,0,137,6,0,235,5,105,8,0,303,0,82,8,0,264,0,46,6,0,157,4,29,0,0,160,8,30,3,0,271,9,22,8,0,134,6,6,7,0,77,6,0,3,0,45,0,12,0,0,20,0,0,0,0,17,0,0,0,0,10,0,0,0,0,25,0,0,0,0,8,0,0,0,0,236,5,9,0,0,58,0,107,13,0,0,0,0,281,474,2622,48,1353,354,474
"2795, NSW",17,0,20,0,0,39,0,86,0,0,48,0,53,3,0,75,0,272,10,0,83,0,352,0,0,275,0,874,4,0,320,0,442,9,0,738,0,386,5,0,648,0,415,12,0,838,8,393,14,0,894,12,281,12,0,667,8,216,8,0,659,13,182,6,0,1270,24,176,10,0,904,20,29,7,0,617,17,15,4,0,330,20,56,13,0,167,12,0,3,0,151,9,4,0,0,100,6,0,0,0,89,9,4,4,0,6,6,0,0,0,948,36,113,0,0,167,6,224,24,0,0,0,0,836,2225,10054,202,4583,971,2225
"2797, NSW",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,8,0,7,0,0,18,0,5,0,0,0,0,6,0,0,3,0,8,0,0,9,0,3,0,0,11,0,0,0,0,9,0,5,0,0,13,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,3,0,0,0,0,0,0,29,112,6,42,0,29
"2798, NSW",0,0,3,0,0,5,0,4,0,0,0,0,3,0,0,0,0,5,0,0,4,0,17,0,0,10,0,16,0,0,4,0,14,0,0,29,0,17,0,0,26,0,8,0,0,46,0,7,0,0,42,0,6,0,0,32,0,11,0,0,34,0,0,0,0,83,0,8,0,0,58,0,0,0,0,34,0,0,0,0,19,0,0,0,0,13,0,0,0,0,15,0,0,0,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,72,0,0,0,0,8,0,8,0,0,0,0,0,42,103,563,4,137,52,103
"2799, NSW",0,0,0,0,0,3,0,5,0,0,8,0,7,0,0,19,0,37,0,0,17,0,53,0,0,33,0,102,0,0,38,0,51,0,0,84,0,35,0,0,83,0,37,0,0,90,0,32,0,0,99,0,14,0,0,70,3,17,3,0,82,0,11,0,0,126,0,6,0,0,73,0,3,0,0,44,0,0,0,0,38,0,6,0,0,16,0,0,0,0,15,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,89,0,0,0,0,16,0,36,7,0,0,0,0,99,169,1045,12,448,110,169
"2800, NSW",22,0,15,0,0,53,3,96,3,0,65,0,74,0,0,69,0,291,5,0,68,0,507,12,0,316,0,878,9,0,361,3,407,3,0,831,0,383,13,0,638,3,417,17,0,919,11,444,9,0,910,14,267,7,0,688,9,230,11,0,761,7,170,16,0,1411,30,212,26,0,964,19,30,8,0,617,19,27,11,0,373,17,96,16,0,227,3,10,0,0,253,4,3,0,0,172,12,0,3,0,137,6,5,3,0,16,0,0,0,0,1045,21,81,3,0,187,0,257,43,0,0,0,0,835,1927,11095,194,4917,1062,1927
"2803, NSW",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,0,4,0,0,15,0,0,0,0,11,0,0,0,0,3,0,4,0,0,4,0,0,0,0,6,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,13,32,71,0,34,19,32
"2804, NSW",0,0,4,0,0,0,0,3,0,0,5,0,7,0,0,9,0,20,0,0,5,0,47,0,0,26,0,82,0,0,25,0,43,0,0,76,0,44,0,0,52,0,37,0,0,64,0,16,0,0,67,0,11,0,0,56,0,9,0,0,40,0,9,5,0,75,0,7,0,0,32,0,0,3,0,14,0,0,0,0,9,0,3,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,65,3,4,0,0,10,0,22,0,0,0,0,0,45,171,659,10,369,56,171
"2805, NSW",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,4,0,0,0,0,5,0,0,5,0,17,0,0,0,0,6,0,0,16,0,3,0,0,7,0,6,0,0,9,0,4,0,0,14,0,0,0,0,4,0,0,0,0,5,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,10,28,103,5,53,17,28
"2806, NSW",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,8,0,0,4,0,20,0,0,9,0,5,0,0,31,0,8,0,0,12,0,8,0,0,27,0,6,0,0,15,0,5,0,0,18,0,0,0,0,11,0,3,0,0,10,0,5,0,0,14,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0,3,0,0,12,0,15,0,0,0,0,0,13,75,207,0,96,15,75
"2807, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,12,0,0,4,0,17,0,0,5,0,6,0,0,20,0,4,0,0,10,0,15,0,0,8,0,6,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,19,39,103,3,71,20,39
"2808, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,6,73,52,0,32,11,73
"2809, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,5,0,3,0,0,6,0,4,0,0,4,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17,20,59,0,21,18,20
"2810, NSW",5,0,0,0,0,5,0,14,0,0,9,0,6,0,0,7,0,31,0,0,6,0,51,0,0,42,0,131,0,0,24,0,44,0,0,115,0,29,3,0,72,0,36,0,0,87,0,28,0,0,87,0,12,0,0,47,0,12,0,0,36,0,9,3,0,65,0,0,4,0,40,0,0,0,0,26,0,0,0,0,11,3,3,0,0,4,0,0,0,0,9,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,74,0,9,0,0,15,0,38,0,0,0,0,0,76,237,812,6,452,85,237
"2817, NSW",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,3,0,3,0,0,14,0,3,0,0,9,0,4,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,5,0,0,0,0,0,5,36,86,4,33,3,36
"2818, NSW",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,4,0,5,0,0,6,0,19,0,0,3,0,6,0,0,17,0,0,0,0,14,0,7,0,0,23,0,7,0,0,15,0,5,0,0,9,0,5,0,0,13,0,0,0,0,29,0,4,0,0,23,0,0,0,0,12,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,5,0,4,0,0,0,0,0,20,34,217,9,71,20,34
"2820, NSW",0,0,10,0,0,6,0,8,0,0,13,0,11,0,0,24,0,70,5,0,19,0,115,0,0,70,0,203,3,0,72,0,82,0,0,204,0,47,3,0,120,0,63,3,0,137,7,54,3,0,146,7,36,0,0,92,5,30,4,0,83,6,17,0,0,105,4,17,0,0,83,3,0,0,0,54,0,3,0,0,30,0,4,0,0,14,0,0,0,0,16,0,0,0,0,6,0,0,0,0,13,0,0,0,0,3,0,0,0,0,179,7,14,0,0,54,0,76,12,0,0,0,0,244,446,1540,38,847,278,446
"2821, NSW",9,0,4,0,0,3,0,10,0,0,5,0,17,0,0,18,0,27,0,0,10,0,47,0,0,38,0,112,0,0,59,0,48,0,0,125,0,44,0,0,75,0,40,0,0,96,0,32,0,0,102,0,27,0,0,84,0,12,3,0,76,0,10,0,0,129,0,12,0,0,72,4,0,0,0,42,0,0,0,0,25,0,5,0,0,20,0,0,0,0,7,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,152,4,7,0,0,30,0,40,0,0,0,0,0,130,253,1197,21,497,149,253
"2822, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,12,0,0,7,0,3,0,0,0,0,8,0,0,14,0,7,0,0,9,0,11,0,0,20,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,15,20,110,0,47,23,20
"2823, NSW",0,0,0,0,0,0,0,3,0,0,8,0,3,0,0,3,0,8,0,0,7,0,28,0,0,12,0,35,7,0,23,0,13,0,0,30,0,11,0,0,27,0,19,0,0,37,0,7,0,0,29,0,8,0,0,13,0,6,0,0,22,3,11,0,0,39,0,5,0,0,26,0,4,0,0,20,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,38,0,0,0,0,13,0,21,0,0,0,0,0,51,72,341,0,180,67,72
"2824, NSW",0,0,0,0,0,3,0,3,0,0,0,0,3,5,0,8,0,31,0,0,3,0,30,0,0,21,0,46,0,0,15,0,22,0,0,55,0,18,0,0,39,0,30,0,0,45,0,23,0,0,46,0,20,3,0,32,0,7,0,0,39,0,8,0,0,64,0,9,0,0,34,0,0,0,0,10,0,0,0,0,9,0,5,0,0,4,0,0,0,0,7,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,71,0,4,0,0,17,0,30,4,0,0,0,0,76,180,531,4,291,96,180
"2825, NSW",0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,18,0,0,3,0,35,0,0,26,0,69,0,0,17,0,17,4,0,55,0,15,4,0,41,0,36,0,0,35,0,24,7,0,28,0,14,0,0,31,0,13,3,0,28,0,10,0,0,68,0,16,0,0,41,0,0,0,0,35,0,0,0,0,17,0,10,0,0,11,0,0,0,0,5,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,88,0,7,0,0,17,0,23,20,0,0,0,0,69,165,567,6,306,117,165
"2826, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,3,0,5,0,0,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,11,50,0,15,3,11
"2827, NSW",6,0,3,0,0,9,0,9,0,0,9,0,3,0,0,4,0,27,0,0,6,0,58,3,0,46,0,104,4,0,32,0,46,0,0,119,0,40,0,0,76,0,41,3,0,110,0,38,0,0,66,0,21,0,0,58,0,9,0,0,48,0,14,0,0,85,4,11,3,0,51,3,0,0,0,30,0,0,0,0,12,0,3,0,0,4,0,0,0,0,8,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,92,7,6,0,0,30,0,23,0,0,0,0,0,76,215,920,20,453,105,215
"2828, NSW",0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,4,0,8,0,19,0,0,5,0,10,3,0,24,0,11,3,0,16,0,8,0,0,25,0,11,5,0,12,0,3,5,0,8,0,0,0,0,8,0,0,0,0,12,0,0,0,0,11,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,7,0,9,19,0,0,0,0,25,92,193,3,97,68,92
"2829, NSW",5,0,0,0,0,4,0,0,0,0,3,0,4,0,0,3,0,39,0,0,8,0,38,0,0,28,0,74,0,0,35,0,29,0,0,64,0,28,0,0,51,4,23,0,0,65,0,23,3,0,66,0,18,9,0,36,7,15,0,0,48,0,8,0,0,71,0,3,5,0,36,0,0,0,0,24,0,0,0,0,7,0,6,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,5,0,0,31,0,28,8,0,0,0,0,186,258,694,13,364,223,258
"2830, NSW",21,0,18,0,0,34,0,67,3,0,27,0,52,6,0,67,0,206,3,0,79,0,347,10,0,273,0,688,21,0,295,3,345,11,0,726,0,363,17,0,634,4,390,16,0,863,15,365,44,0,835,15,248,27,0,672,17,196,10,0,723,13,142,17,0,1231,35,207,18,0,865,20,28,13,0,526,20,18,11,0,283,13,70,7,0,149,10,6,3,0,146,14,4,0,0,103,8,3,0,0,82,4,4,0,0,10,3,0,0,0,1062,31,81,6,0,189,5,253,55,0,0,0,0,800,1704,9890,229,4099,1097,1704
"2831, NSW",0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,6,0,13,0,0,0,0,20,0,0,21,0,35,5,0,11,0,14,0,0,36,0,12,0,0,26,0,14,0,0,43,0,13,0,0,46,0,4,0,0,36,0,3,0,0,33,0,6,0,0,63,0,7,3,0,31,0,0,0,0,18,3,0,0,0,9,4,3,0,0,0,4,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,3,0,0,15,0,13,5,0,0,0,0,69,188,474,16,158,84,188
"2832, NSW",4,0,0,0,0,0,0,5,5,0,8,0,10,3,0,6,0,35,3,0,14,0,29,0,0,31,0,36,9,0,13,0,18,0,0,59,0,21,7,0,42,0,21,3,0,41,4,24,11,0,34,0,18,4,0,33,0,11,3,0,17,3,8,0,0,56,4,9,9,0,33,0,0,0,0,14,6,0,0,0,10,0,4,3,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,70,6,5,3,0,26,3,20,10,0,0,0,0,106,384,530,24,281,173,384
"2833, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,9,0,0,11,0,14,0,0,10,0,0,0,0,15,0,10,0,0,18,0,12,0,0,10,0,0,0,0,13,0,3,0,0,9,0,3,0,0,11,0,0,0,0,16,0,4,3,0,4,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,13,0,0,0,0,18,94,141,4,82,41,94
"2834, NSW",4,0,3,0,0,7,0,6,3,0,4,0,8,5,0,12,0,44,6,0,7,0,84,5,0,32,0,123,23,0,45,0,33,10,0,72,0,24,28,0,47,0,44,32,0,55,0,29,28,0,54,0,8,14,0,23,0,8,6,0,17,0,8,7,0,17,0,9,17,0,20,0,0,9,0,4,0,0,3,0,5,0,3,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,50,4,9,0,0,16,0,52,17,0,0,0,0,126,281,500,8,500,338,281
"2835, NSW",5,0,0,0,0,7,0,11,0,0,4,0,3,0,0,3,0,26,5,0,9,0,44,0,0,28,0,64,3,0,23,0,23,11,0,70,0,39,14,0,52,0,28,11,0,38,4,34,9,0,64,0,31,15,0,55,0,26,11,0,52,0,27,5,0,138,0,55,11,0,102,0,0,0,0,72,0,0,0,0,42,0,17,4,0,29,0,0,0,0,33,0,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,99,0,11,3,0,28,0,45,10,0,0,0,0,163,451,990,10,481,281,451
